AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary,NEW_HitRatio,NEW_RunRatio,NEW_CHitRatio,NEW_CRunRatio,NEW_Avg_AtBat,NEW_Avg_Hits,NEW_Avg_HmRun,NEW_Avg_Runs,NEW_Avg_RBI,NEW_Avg_Walks,League_N,Division_W,NewLeague_N
315,81,7,24,38,39,14,3449,835,69,321,414,375,632,43,10,475.0,0.2571428571428571,0.2916666666666667,0.24209915917657293,0.21495327102803738,246.35714285714286,59.642857142857146,4.928571428571429,22.928571428571427,29.571428571428573,26.785714285714285,1,1,1
479,130,18,66,72,76,3,1624,457,63,224,266,263,880,82,14,480.0,0.27139874739039666,0.2727272727272727,0.2814039408866995,0.28125,541.3333333333334,152.33333333333334,21.0,74.66666666666667,88.66666666666667,87.66666666666667,0,1,0
496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,500.0,0.2842741935483871,0.3076923076923077,0.2798507462686567,0.2717391304347826,511.6363636363636,143.1818181818182,20.454545454545453,75.27272727272727,76.18181818181819,32.18181818181818,1,0,1
321,87,10,39,42,30,2,396,101,12,48,46,33,805,40,4,91.5,0.27102803738317754,0.2564102564102564,0.255050505050505,0.25,198.0,50.5,6.0,24.0,23.0,16.5,1,0,1
594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,750.0,0.2845117845117845,0.05405405405405406,0.257032667876588,0.03792415169660679,400.72727272727275,103.0,1.7272727272727273,45.54545454545455,30.545454545454547,17.636363636363637,0,1,0
185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,70.0,0.2,0.043478260869565216,0.19626168224299065,0.03333333333333333,107.0,21.0,0.5,15.0,4.5,12.0,1,0,0
298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,100.0,0.24496644295302014,0.0,0.21218074656188604,0.0,169.66666666666666,36.0,0.0,13.666666666666666,12.333333333333334,4.0,0,1,0
323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,75.0,0.25077399380804954,0.23076923076923078,0.25219941348973607,0.1875,170.5,43.0,3.0,16.0,17.0,4.0,1,1,1
401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,1100.0,0.22942643391521197,0.3469387755102041,0.2558586246638494,0.3227040816326531,400.46153846153845,102.46153846153847,19.46153846153846,60.30769230769231,68.46153846153847,66.61538461538461,0,0,0
574,159,21,107,75,59,10,4631,1300,90,702,504,488,238,445,22,517.143,0.2770034843205575,0.19626168224299065,0.28071690779529257,0.1282051282051282,463.1,130.0,9.0,70.2,50.4,48.8,0,0,0
202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,512.5,0.2623762376237624,0.12903225806451613,0.24893390191897655,0.078125,208.44444444444446,51.888888888888886,1.6666666666666667,21.333333333333332,20.666666666666668,17.88888888888889,1,1,1
418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,550.0,0.2703349282296651,0.2708333333333333,0.25925925925925924,0.2,378.0,98.0,10.25,51.25,51.0,50.75,1,0,1
239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,700.0,0.2510460251046025,0.0,0.26275115919629055,0.012944983818770227,323.5,85.0,0.6666666666666666,51.5,17.166666666666668,34.5,0,0,0
196,43,7,29,27,30,13,3231,825,36,376,290,238,80,45,8,240.0,0.2193877551020408,0.2413793103448276,0.255338904363974,0.09574468085106383,248.53846153846155,63.46153846153846,2.769230769230769,28.923076923076923,22.307692307692307,18.307692307692307,1,0,1
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,105,290,10,775.0,0.27816901408450706,0.2247191011235955,0.28173029251363413,0.16937799043062202,537.8666666666667,151.53333333333333,11.8,69.66666666666667,66.2,48.8,1,1,1
190,46,2,24,8,15,5,479,102,5,65,23,39,102,177,16,175.0,0.24210526315789474,0.08333333333333333,0.21294363256784968,0.07692307692307693,95.8,20.4,1.0,13.0,4.6,7.8,0,1,0
127,32,8,16,22,14,8,727,180,24,67,82,56,202,22,2,135.0,0.25196850393700787,0.5,0.24759284731774414,0.3582089552238806,90.875,22.5,3.0,8.375,10.25,7.0,1,1,1
413,92,16,72,48,65,1,413,92,16,72,48,65,280,9,5,100.0,0.22276029055690072,0.2222222222222222,0.22276029055690072,0.2222222222222222,413.0,92.0,16.0,72.0,48.0,65.0,1,0,1
426,109,3,55,43,62,1,426,109,3,55,43,62,361,22,2,115.0,0.25586854460093894,0.05454545454545454,0.25586854460093894,0.05454545454545454,426.0,109.0,3.0,55.0,43.0,62.0,0,1,1
472,116,16,60,62,74,6,1924,489,67,242,251,240,518,55,3,600.0,0.2457627118644068,0.26666666666666666,0.25415800415800416,0.2768595041322314,320.6666666666667,81.5,11.166666666666666,40.333333333333336,41.833333333333336,40.0,1,1,1
629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1067,157,14,776.667,0.2670906200317965,0.2465753424657534,0.2924976258309592,0.1626984126984127,468.0,136.88888888888889,9.11111111111111,56.0,59.55555555555556,22.333333333333332,0,0,0
587,163,4,92,51,70,6,2695,747,17,442,198,317,434,9,3,765.0,0.2776831345826235,0.043478260869565216,0.2771799628942486,0.038461538461538464,449.1666666666667,124.5,2.8333333333333335,73.66666666666667,33.0,52.833333333333336,0,0,0
324,73,4,32,18,22,7,1931,491,13,291,108,180,222,3,3,708.333,0.22530864197530864,0.125,0.2542723977213879,0.044673539518900345,275.85714285714283,70.14285714285714,1.8571428571428572,41.57142857142857,15.428571428571429,25.714285714285715,1,0,1
474,129,10,50,56,40,10,2331,604,61,246,327,166,732,83,13,750.0,0.2721518987341772,0.2,0.25911625911625913,0.24796747967479674,233.1,60.4,6.1,24.6,32.7,16.6,1,1,1
550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,625.0,0.27636363636363637,0.06521739130434782,0.274263431542461,0.09169054441260745,461.6,126.6,6.4,69.8,36.4,61.6,1,1,1
513,137,20,90,95,90,14,5201,1382,166,763,734,784,267,5,3,900.0,0.26705653021442494,0.2222222222222222,0.26571813112862913,0.21756225425950196,371.5,98.71428571428571,11.857142857142858,54.5,52.42857142857143,56.0,0,1,0
419,108,6,55,36,22,3,591,149,8,80,46,31,226,7,4,110.0,0.2577565632458234,0.10909090909090909,0.2521150592216582,0.1,197.0,49.666666666666664,2.6666666666666665,26.666666666666668,15.333333333333334,10.333333333333334,1,1,1
583,168,17,83,80,56,5,1646,452,44,219,208,136,109,292,25,612.5,0.2881646655231561,0.20481927710843373,0.27460510328068044,0.2009132420091324,329.2,90.4,8.8,43.8,41.6,27.2,0,0,0
204,49,6,23,25,12,7,1309,308,27,126,132,66,419,46,5,300.0,0.24019607843137256,0.2608695652173913,0.23529411764705882,0.21428571428571427,187.0,44.0,3.857142857142857,18.0,18.857142857142858,9.428571428571429,0,1,0
379,106,10,38,60,30,14,6207,1906,146,859,803,571,72,170,24,850.0,0.2796833773087071,0.2631578947368421,0.3070726599001128,0.16996507566938301,443.35714285714283,136.14285714285714,10.428571428571429,61.357142857142854,57.357142857142854,40.785714285714285,1,1,1
268,60,5,24,25,15,2,350,78,5,34,29,18,442,59,6,90.0,0.22388059701492538,0.20833333333333334,0.22285714285714286,0.14705882352941177,175.0,39.0,2.5,17.0,14.5,9.0,1,1,1
181,41,1,15,21,33,2,232,50,4,20,29,45,326,29,5,67.5,0.2265193370165746,0.06666666666666667,0.21551724137931033,0.2,116.0,25.0,2.0,10.0,14.5,22.5,0,0,0
217,46,7,32,19,9,4,694,160,32,86,76,32,307,25,1,180.0,0.2119815668202765,0.21875,0.23054755043227665,0.37209302325581395,173.5,40.0,8.0,21.5,19.0,8.0,0,0,0
254,68,2,28,26,22,6,999,236,21,108,117,118,359,30,4,305.0,0.2677165354330709,0.07142857142857142,0.23623623623623624,0.19444444444444445,166.5,39.333333333333336,3.5,18.0,19.5,19.666666666666668,0,0,0
416,132,7,57,49,33,3,932,273,24,113,121,80,73,177,18,215.0,0.3173076923076923,0.12280701754385964,0.2929184549356223,0.21238938053097345,310.6666666666667,91.0,8.0,37.666666666666664,40.333333333333336,26.666666666666668,1,1,1
205,57,8,34,32,9,5,756,192,32,117,107,51,58,4,4,247.5,0.2780487804878049,0.23529411764705882,0.25396825396825395,0.27350427350427353,151.2,38.4,6.4,23.4,21.4,10.2,0,0,0
526,146,13,71,70,84,6,2648,715,77,352,342,289,303,9,9,815.0,0.27756653992395436,0.18309859154929578,0.2700151057401813,0.21875,441.3333333333333,119.16666666666667,12.833333333333334,58.666666666666664,57.0,48.166666666666664,1,1,1
457,101,14,42,63,22,17,6521,1767,281,1003,977,619,389,39,4,875.0,0.2210065645514223,0.3333333333333333,0.2709707100138016,0.28015952143569295,383.5882352941176,103.94117647058823,16.529411764705884,59.0,57.470588235294116,36.411764705882355,0,1,0
214,53,2,30,29,23,2,226,59,2,32,32,27,109,7,3,70.0,0.24766355140186916,0.06666666666666667,0.2610619469026549,0.0625,113.0,29.5,1.0,16.0,16.0,13.5,1,0,1
591,168,19,80,72,39,9,4478,1307,113,634,563,319,67,147,4,1200.0,0.28426395939086296,0.2375,0.29187137114783385,0.17823343848580442,497.55555555555554,145.22222222222223,12.555555555555555,70.44444444444444,62.55555555555556,35.44444444444444,0,1,0
403,101,12,45,53,39,12,5150,1429,166,747,666,526,316,6,5,675.0,0.2506203473945409,0.26666666666666666,0.27747572815533983,0.2222222222222222,429.1666666666667,119.08333333333333,13.833333333333334,62.25,55.5,43.833333333333336,0,0,0
405,102,18,49,85,20,6,950,231,29,99,138,64,161,10,3,415.0,0.2518518518518518,0.3673469387755102,0.2431578947368421,0.29292929292929293,158.33333333333334,38.5,4.833333333333333,16.5,23.0,10.666666666666666,1,1,1
244,58,9,28,25,35,4,1335,333,49,164,179,194,142,14,2,340.0,0.23770491803278687,0.32142857142857145,0.24943820224719102,0.29878048780487804,333.75,83.25,12.25,41.0,44.75,48.5,1,1,1
313,78,6,32,41,12,12,3742,968,35,409,321,170,106,206,7,416.667,0.24920127795527156,0.1875,0.2586851950828434,0.08557457212713937,311.8333333333333,80.66666666666667,2.9166666666666665,34.083333333333336,26.75,14.166666666666666,1,1,1
416,113,24,58,69,16,1,416,113,24,58,69,16,203,70,10,90.0,0.27163461538461536,0.41379310344827586,0.27163461538461536,0.41379310344827586,416.0,113.0,24.0,58.0,69.0,16.0,0,0,0
155,44,6,21,23,15,16,6631,1634,98,698,661,777,53,88,3,275.0,0.2838709677419355,0.2857142857142857,0.24641833810888253,0.14040114613180515,414.4375,102.125,6.125,43.625,41.3125,48.5625,1,0,1
236,56,0,27,15,11,4,1115,270,1,116,64,57,125,199,13,230.0,0.23728813559322035,0.0,0.242152466367713,0.008620689655172414,278.75,67.5,0.25,29.0,16.0,14.25,0,1,0
216,53,1,31,15,22,4,926,210,9,118,69,114,73,152,11,225.0,0.24537037037037038,0.03225806451612903,0.2267818574514039,0.07627118644067797,231.5,52.5,2.25,29.5,17.25,28.5,1,1,1
585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,0,0,0,950.0,0.2376068376068376,0.3333333333333333,0.2626557116353035,0.27607361963190186,443.88235294117646,116.58823529411765,18.529411764705884,67.11764705882354,69.3529411764706,42.76470588235294,0,0,0
199,53,5,29,22,21,3,514,120,8,57,40,39,152,3,5,75.0,0.2663316582914573,0.1724137931034483,0.23346303501945526,0.14035087719298245,171.33333333333334,40.0,2.6666666666666665,19.0,13.333333333333334,13.0,0,1,0
521,142,20,67,86,45,4,815,205,22,99,103,78,107,242,23,105.0,0.272552783109405,0.29850746268656714,0.25153374233128833,0.2222222222222222,203.75,51.25,5.5,24.75,25.75,19.5,0,0,0
311,81,3,42,30,26,17,8247,2198,100,950,909,690,153,223,10,320.0,0.2604501607717042,0.07142857142857142,0.2665211592094095,0.10526315789473684,485.11764705882354,129.2941176470588,5.882352941176471,55.88235294117647,53.470588235294116,40.588235294117645,1,1,1
512,131,26,69,96,52,14,5347,1397,221,712,815,548,119,216,12,850.0,0.255859375,0.37681159420289856,0.26126800074808304,0.3103932584269663,381.92857142857144,99.78571428571429,15.785714285714286,50.857142857142854,58.214285714285715,39.142857142857146,0,1,0
507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,808,108,2,535.0,0.2406311637080868,0.3717948717948718,0.25086973328179357,0.29531914893617023,431.1666666666667,108.16666666666667,19.27777777777778,65.27777777777777,64.0,76.66666666666667,0,0,0
529,137,26,86,97,97,15,6661,1785,291,1082,949,989,280,10,5,933.333,0.2589792060491493,0.3023255813953488,0.2679777811139469,0.2689463955637708,444.06666666666666,119.0,19.4,72.13333333333334,63.266666666666666,65.93333333333334,0,0,0
424,119,6,57,46,13,9,3651,1046,32,461,301,112,224,286,8,850.0,0.2806603773584906,0.10526315789473684,0.2864968501780334,0.06941431670281996,405.6666666666667,116.22222222222223,3.5555555555555554,51.22222222222222,33.44444444444444,12.444444444444445,0,0,1
351,97,4,55,29,39,4,1258,353,16,196,110,117,226,7,3,210.0,0.27635327635327633,0.07272727272727272,0.28060413354531,0.08163265306122448,314.5,88.25,4.0,49.0,27.5,29.25,1,1,0
388,103,15,59,47,39,6,2174,555,80,285,274,186,182,9,4,325.0,0.2654639175257732,0.2542372881355932,0.25528978840846367,0.2807017543859649,362.3333333333333,92.5,13.333333333333334,47.5,45.666666666666664,31.0,0,1,0
339,96,4,37,29,23,4,1064,290,11,123,108,55,104,213,9,275.0,0.2831858407079646,0.10810810810810811,0.2725563909774436,0.08943089430894309,266.0,72.5,2.75,30.75,27.0,13.75,0,1,0
255,70,7,49,35,43,15,6311,1661,154,1019,608,820,51,54,8,450.0,0.27450980392156865,0.14285714285714285,0.2631912533671367,0.15112855740922473,420.73333333333335,110.73333333333333,10.266666666666667,67.93333333333334,40.53333333333333,54.666666666666664,1,0,1
329,83,9,50,39,56,9,3828,948,145,575,528,635,276,6,2,600.0,0.25227963525835867,0.18,0.2476489028213166,0.25217391304347825,425.3333333333333,105.33333333333333,16.11111111111111,63.888888888888886,58.666666666666664,70.55555555555556,0,1,0
637,174,31,89,116,56,14,6727,2024,247,978,1093,495,278,9,9,1041.667,0.2731554160125589,0.34831460674157305,0.30087706258361824,0.25255623721881393,480.5,144.57142857142858,17.642857142857142,69.85714285714286,78.07142857142857,35.357142857142854,1,1,1
280,82,16,44,45,47,2,428,113,25,61,70,63,148,4,2,110.0,0.29285714285714287,0.36363636363636365,0.26401869158878505,0.4098360655737705,214.0,56.5,12.5,30.5,35.0,31.5,0,0,0
155,41,12,21,29,22,16,5409,1338,181,746,805,875,165,9,1,260.0,0.2645161290322581,0.5714285714285714,0.2473655019412091,0.24262734584450402,338.0625,83.625,11.3125,46.625,50.3125,54.6875,0,1,0
458,114,13,67,57,48,4,1350,298,28,160,123,122,246,389,18,475.0,0.24890829694323144,0.19402985074626866,0.22074074074074074,0.175,337.5,74.5,7.0,40.0,30.75,30.5,0,1,0
314,83,13,39,46,16,5,1457,405,28,156,159,76,533,40,4,431.5,0.2643312101910828,0.3333333333333333,0.2779684282772821,0.1794871794871795,291.4,81.0,5.6,31.2,31.8,15.2,0,1,0
475,123,27,76,93,72,4,1810,471,108,292,343,267,226,10,6,1220.0,0.25894736842105265,0.35526315789473684,0.26022099447513813,0.3698630136986301,452.5,117.75,27.0,73.0,85.75,66.75,1,0,1
317,78,7,35,35,32,1,317,78,7,35,35,32,45,122,26,70.0,0.24605678233438485,0.2,0.24605678233438485,0.2,317.0,78.0,7.0,35.0,35.0,32.0,0,0,0
511,138,25,76,96,61,3,592,164,28,87,110,71,157,7,8,145.0,0.2700587084148728,0.32894736842105265,0.27702702702702703,0.3218390804597701,197.33333333333334,54.666666666666664,9.333333333333334,29.0,36.666666666666664,23.666666666666668,0,1,0
382,119,13,54,58,36,12,2133,594,41,287,294,227,59,156,9,595.0,0.31151832460732987,0.24074074074074073,0.27848101265822783,0.14285714285714285,177.75,49.5,3.4166666666666665,23.916666666666668,24.5,18.916666666666668,1,1,1
415,115,27,97,71,68,3,711,184,45,156,119,99,274,2,7,300.0,0.27710843373493976,0.27835051546391754,0.2587904360056259,0.28846153846153844,237.0,61.333333333333336,15.0,52.0,39.666666666666664,33.0,1,1,1
424,110,15,70,47,36,7,2130,544,38,335,174,258,292,6,3,490.0,0.25943396226415094,0.21428571428571427,0.25539906103286386,0.11343283582089553,304.2857142857143,77.71428571428571,5.428571428571429,47.857142857142854,24.857142857142858,36.857142857142854,1,1,1
233,49,2,41,23,18,8,1350,336,7,166,122,106,102,132,10,375.0,0.21030042918454936,0.04878048780487805,0.24888888888888888,0.04216867469879518,168.75,42.0,0.875,20.75,15.25,13.25,0,0,0
566,154,22,76,84,43,14,6100,1583,131,743,693,300,316,439,10,750.0,0.27208480565371024,0.2894736842105263,0.2595081967213115,0.17631224764468373,435.7142857142857,113.07142857142857,9.357142857142858,53.07142857142857,49.5,21.428571428571427,0,1,0
641,198,31,101,108,41,5,2129,610,92,297,319,117,269,17,10,1175.0,0.3088923556942278,0.3069306930693069,0.28651949271958665,0.30976430976430974,425.8,122.0,18.4,59.4,63.8,23.4,0,0,0
215,51,4,19,18,11,1,215,51,4,19,18,11,116,5,12,70.0,0.2372093023255814,0.21052631578947367,0.2372093023255814,0.21052631578947367,215.0,51.0,4.0,19.0,18.0,11.0,0,0,0
325,76,16,33,52,37,5,1506,351,71,195,219,214,726,87,3,385.0,0.23384615384615384,0.48484848484848486,0.23306772908366533,0.3641025641025641,301.2,70.2,14.2,39.0,43.8,42.8,1,1,0
574,152,31,91,101,64,3,985,260,53,148,173,95,1253,111,11,215.0,0.26480836236933797,0.34065934065934067,0.2639593908629442,0.3581081081081081,328.3333333333333,86.66666666666667,17.666666666666668,49.333333333333336,57.666666666666664,31.666666666666668,1,1,1
596,171,34,91,108,52,6,2862,728,107,361,401,224,118,334,21,900.0,0.28691275167785235,0.37362637362637363,0.2543675751222921,0.296398891966759,477.0,121.33333333333333,17.833333333333332,60.166666666666664,66.83333333333333,37.333333333333336,0,1,0
472,118,12,63,54,30,4,793,187,14,102,80,50,228,377,26,155.0,0.25,0.19047619047619047,0.23581336696090793,0.13725490196078433,198.25,46.75,3.5,25.5,20.0,12.5,0,1,0
283,77,14,45,47,26,16,6840,1910,259,915,1067,546,144,6,5,700.0,0.27208480565371024,0.3111111111111111,0.27923976608187134,0.2830601092896175,427.5,119.375,16.1875,57.1875,66.6875,34.125,0,1,0
